run	total_instr_ms	total_clean_ms	jq_ms	awk_ms	slug_ms	find_ms	postfind_ms
1	119.957	47.096	45.179	41.445	10.574	13.877	8.882
2	72.980	40.041	21.661	24.348	7.837	8.893	10.241
3	58.368	36.183	16.196	21.628	6.917	6.624	7.003
4	51.428	33.263	13.212	17.744	6.700	7.090	6.682
5	58.418	37.821	16.038	18.242	6.904	9.399	7.835
6	56.313	37.883	12.920	21.129	6.744	6.779	8.741
7	52.731	34.600	13.127	17.675	7.556	7.392	6.981
8	59.585	35.248	13.762	22.237	8.371	7.322	7.893
9	78.478	36.964	19.046	32.517	11.256	8.307	7.352
10	55.612	37.109	12.877	18.754	8.876	7.744	7.361
11	64.486	35.009	17.277	19.855	7.448	12.203	7.703
12	73.584	42.529	16.234	24.982	8.387	13.621	10.360
13	54.899	39.783	15.831	17.023	6.750	6.870	8.425
14	63.797	35.891	14.908	24.669	9.003	6.841	8.376
15	57.133	38.044	15.048	22.201	6.799	6.574	6.511
16	75.549	48.363	15.814	23.478	15.777	10.511	9.969
17	73.370	45.888	21.187	24.443	8.377	8.624	10.739
18	66.763	63.671	15.172	24.774	8.536	9.272	9.009
19	77.466	41.749	15.061	32.656	11.480	9.963	8.306
20	61.668	38.222	16.652	21.765	7.526	8.017	7.708
21	83.060	39.116	30.517	28.711	7.894	7.173	8.765
22	58.752	41.531	14.147	19.154	9.341	7.299	8.811
23	62.958	38.035	16.276	19.645	9.273	8.374	9.390
24	73.611	35.555	19.050	28.027	9.772	7.997	8.765
25	60.151	36.185	15.535	17.204	7.799	11.532	8.081
26	61.594	31.900	17.268	20.739	7.456	7.612	8.519
27	52.263	33.299	14.614	16.563	7.115	6.589	7.382
28	62.957	36.063	15.590	25.378	8.098	6.904	6.987
29	54.041	34.479	14.380	17.441	6.971	7.025	8.224
30	53.181	31.362	13.300	18.994	7.003	6.466	7.418
