id	polarity	decision	expected	verdict	fixture_sha256	decision_sha256	signature
oi-001	attack	deny	deny	BLOCKED	2cb6a071da0ae6252db130773a2865cf5c915d14a9fa45c5b3f71c93c50063f5	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	12f0f6ea1e2be6097d70a9ccf5dea4a63b46c1ff36aa3c1f972da9a38d1041ba
oi-002	attack	deny	deny	BLOCKED	81f15f15ad9e33e7250037b2be1b0cfdd3fed7acf9f3f38fe66d654c5535ba0c	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	69bbd677e2964cb745b5fe5acc84abb725193d4c29e0a952d38a6c64f55c8184
oi-003	attack	deny	deny	BLOCKED	86521f66a7cba4c351c9821cbff1ec2bad55f3686e07b14e6b27d02aa0559649	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	e011097acbbf64186b0f3241c50794f2f3a0b8f91c3dbe92ec571f3ca6641627
oi-004	attack	deny	deny	BLOCKED	eee456de83e458b38be64ac3eb42453e5510c3addfc2942f82f262b0f69a2dd4	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	476eb84d557441ec843a0552c4b5ce1cf71d1048a462bb2424028a8962e74222
oi-005	attack	deny	deny	BLOCKED	5543b4ed3f4479869fcf65df09ccb94296458676c0362854496f83bd5906daa8	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	16a35b01edf970e6b0059f1342606578408a00c0aa0ee0249aa61a3e164ab79c
oi-006	attack	deny	deny	BLOCKED	6e9c1ed2256f9ffcd192324b0fed34886fbac5de40a86493bf5e912bf576f07c	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	0a7c95e5a9c3fd5501c54d5944609110066bcbbb8aa6a2e63474fa47ef391457
oi-007	attack	deny	deny	BLOCKED	3394c5e3f97cea2139850719ad780b7f40973de63b8b185742663e71f0352440	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	3aafdcc16cf981376c2b19b424d43cb4a766e986d7487dc3072ed2b8985b91c2
oi-008	attack	deny	deny	BLOCKED	513efa70b2c4521b246c7aaea18ea26acc1b726a803c5321ec55d3576d0c14d7	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	a9c8d8006ff8275f4887b3632d7a22b1919f8ba5999e7b5f7ecf4e6b87e551c5
oi-009	attack	deny	deny	BLOCKED	9d0e399ba57ed383f0ee761456d1d4977c4fbadc483bf1a9f56b5b8b0e73988d	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	6a255b0023b4332dc583cfa121229398a35e67c07eb3f6d350e359ba47f6633c
oi-010	benign	allow	allow	PASS	d35d892055b1acd0b0121ab64fd0870ef0721bf46ecce8780377868d057663e6	410083735735a10e658a19edd1704e606c9dd112e225825b63fafeded766c8b9	b72cca3469667acd641c7fa21e9b2cf798145c9af8ec66976c6e9db4bff07f70
